,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999946675,0.0,0.9999999999946675,0,geopotential1000,3
0,0.0,0.9999999998848025,0.0,0.9999999998848025,0,geopotential700,3
0,0.0,0.9999999998690033,0.0,0.9999999998690033,0,geopotential500,3
0,0.0,0.9999999998017733,0.0,0.9999999998017733,0,geopotential300,3
0,0.0,0.9999999997810833,0.0,0.9999999997810833,0,temperature850,3
0,140.1792898098355,0.972603947256008,468.3913385778993,0.6973949344930366,1,geopotential1000,3
0,133.42290526432163,0.9831749251674317,453.8082518798121,0.7998224310943289,1,geopotential700,3
0,175.0192268896712,0.9870589972042105,602.7851702712735,0.8404246468928629,1,geopotential500,3
0,246.05167170703902,0.9884080764842389,849.2223263104785,0.8624584599485453,1,geopotential300,3
0,1.4773774894910063,0.9642517409266399,3.1058484326004625,0.8400772541857688,1,temperature850,3
0,252.91812671166943,0.9065121979331761,623.631358043833,0.46351978325126,2,geopotential1000,3
0,255.40833761449474,0.9386397367878931,634.6226067939332,0.6084653938754042,2,geopotential700,3
0,335.5902139189249,0.9527541181138784,833.6311446286043,0.6947281228429634,2,geopotential500,3
0,457.76698955532214,0.9592769904724745,1159.4725831561889,0.7435475493463516,2,geopotential300,3
0,2.1077831573756307,0.9274938081340809,3.9782721450170033,0.7374759691552066,2,temperature850,3
0,365.23326533219773,0.7988300238985565,684.4661251647647,0.35369679744075905,3,geopotential1000,3
0,378.366147239074,0.8626924108884982,715.7137294191646,0.5019700458800577,3,geopotential700,3
0,498.66825201022715,0.8939754031515149,936.0413714300818,0.6150360937386787,3,geopotential500,3
0,674.2205421793132,0.9102980583967691,1289.645391617484,0.6826514535682628,3,geopotential300,3
0,2.7434586445954605,0.8759412702081739,4.297288830598009,0.6934968311960362,3,temperature850,3
0,468.110792721848,0.6637954077434294,717.9050936902871,0.28893980431928235,4,geopotential1000,3
0,492.794942895099,0.7619349355468857,761.5800635814908,0.4360301067886154,4,geopotential700,3
0,652.7845296375275,0.8146270546025769,994.2727450604497,0.5655280095808466,4,geopotential500,3
0,884.2779582786923,0.8438599759323806,1362.5646679481931,0.6456264507733197,4,geopotential300,3
0,3.357091929164472,0.8116546138309959,4.4570909640295255,0.6700535416799237,4,temperature850,3
0,553.3986999362157,0.5273373493294591,738.6927815614964,0.2471631301302325,5,geopotential1000,3
0,590.7059884009864,0.6529879899219401,791.5915543921383,0.39070087165373313,5,geopotential700,3
0,787.4152614993616,0.726207768285047,1033.381753978452,0.5305705652704368,5,geopotential500,3
0,1071.9796757259678,0.7688867889828898,1410.955780771687,0.6198811227908545,5,geopotential300,3
0,3.8998440854792493,0.742965278728559,4.560630868746124,0.654296388695995,5,temperature850,3
0,622.2126875947639,0.4043121887017088,751.6530560832373,0.2205311278657784,6,geopotential1000,3
0,671.0969721047221,0.5494744441583829,811.2270347480458,0.36014689951477385,6,geopotential700,3
0,898.2146301032637,0.640881535454312,1058.683057136922,0.5072294974535206,6,geopotential500,3
0,1227.2510013778417,0.6961403657852441,1442.0007529942504,0.6028641671906246,6,geopotential300,3
0,4.352419662282995,0.6773945837643827,4.622090972880082,0.6446640537546676,6,temperature850,3
0,675.4917310698099,0.3046350242235429,760.3972009165327,0.20232085298119779,7,geopotential1000,3
0,735.5357150366923,0.45920106381831477,824.3142373186396,0.33937911983556057,7,geopotential700,3
0,988.6647241403185,0.5639078679768893,1077.0349675826021,0.48991760291171743,7,geopotential500,3
0,1354.3321246453067,0.6300276314812687,1467.2530765175695,0.5887223458861593,7,geopotential300,3
0,4.727757626194768,0.6175194148488411,4.680880441629968,0.6353236012383209,7,temperature850,3
0,715.5449308444021,0.2290206956068847,769.2390567819766,0.18373788003194985,8,geopotential1000,3
0,785.1102248407539,0.3865335098801874,836.3150711029142,0.31997276796129714,8,geopotential700,3
0,1059.7104399041061,0.4998694221518832,1094.5319428609293,0.4730809611242326,8,geopotential500,3
0,1455.5568777422309,0.5740015379350304,1492.4885286981223,0.5743191771325938,8,geopotential300,3
0,5.031511622373694,0.5657136137534077,4.744685451411059,0.6250674487367421,8,temperature850,3
0,746.3462598304754,0.17270732992972881,774.2669794835751,0.17311487137157458,9,geopotential1000,3
0,823.7367899586619,0.3290589364979095,844.3344633196448,0.3067836589326746,9,geopotential700,3
0,1115.3715799558006,0.4483123942523918,1105.7016110571744,0.46211922483493495,9,geopotential500,3
0,1535.5229787694477,0.5281535420341898,1507.7641275112783,0.5654184754506856,9,geopotential300,3
0,5.265243003400053,0.5243448334268866,4.78008951241194,0.6192122535238888,9,temperature850,3
0,772.2175658815916,0.12879330176452797,777.7811823911841,0.1656088454196839,10,geopotential1000,3
0,855.5063905365514,0.2822577459326115,850.053872603985,0.29724580100540027,10,geopotential700,3
0,1162.2110278703572,0.4045680317210349,1113.9935202237452,0.45386580704067225,10,geopotential500,3
0,1603.1626266016744,0.48855646404408454,1519.2640343083003,0.5586278335071364,10,geopotential300,3
0,5.454530904095638,0.4899681903283858,4.808630190217355,0.6144439509940789,10,temperature850,3
