,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999946675,0.0,0.9999999999946675,0,geopotential1000,0
0,0.0,0.9999999998848025,0.0,0.9999999998848025,0,geopotential700,0
0,0.0,0.9999999998690033,0.0,0.9999999998690033,0,geopotential500,0
0,0.0,0.9999999998017733,0.0,0.9999999998017733,0,geopotential300,0
0,0.0,0.9999999997810833,0.0,0.9999999997810833,0,temperature850,0
0,136.34227040677325,0.9740647790254594,468.3913385778993,0.6973949344930366,1,geopotential1000,0
0,128.04941125946775,0.9839594928462216,453.8082518798121,0.7998224310943289,1,geopotential700,0
0,166.63130857636054,0.9877679263614223,602.7851702712735,0.8404246468928629,1,geopotential500,0
0,239.5905612577376,0.9890476747169721,849.2223263104785,0.8624584599485453,1,geopotential300,0
0,1.445464701329716,0.9649233450361387,3.1058484326004625,0.8400772541857688,1,temperature850,0
0,246.19168169891137,0.9126121030299864,623.631358043833,0.46351978325126,2,geopotential1000,0
0,242.18538229591513,0.9420878308757801,634.6226067939332,0.6084653938754042,2,geopotential700,0
0,314.8359811459699,0.9555518547712074,833.6311446286043,0.6947281228429634,2,geopotential500,0
0,439.8990113930284,0.9624607286475989,1159.4725831561889,0.7435475493463516,2,geopotential300,0
0,2.011157184819954,0.9303149107297509,3.9782721450170033,0.7374759691552066,2,temperature850,0
0,355.03050121168644,0.8134623024978761,684.4661251647647,0.35369679744075905,3,geopotential1000,0
0,358.48277462817214,0.8716509551001838,715.7137294191646,0.5019700458800577,3,geopotential700,0
0,467.9727867257321,0.900249425446465,936.0413714300818,0.6150360937386787,3,geopotential500,0
0,639.0865096477819,0.9192513681026421,1289.645391617484,0.6826514535682628,3,geopotential300,0
0,2.5745229202131,0.882738443560125,4.297288830598009,0.6934968311960362,3,temperature850,0
0,453.53396595904906,0.6893882229735818,717.9050936902871,0.28893980431928235,4,geopotential1000,0
0,468.2886319132021,0.778126742420349,761.5800635814908,0.4360301067886154,4,geopotential700,0
0,615.3925356207172,0.8248876036559031,994.2727450604497,0.5655280095808466,4,geopotential500,0
0,830.9677292856378,0.8609200909226934,1362.5646679481931,0.6456264507733197,4,geopotential300,0
0,3.124872651526103,0.8231181968613279,4.4570909640295255,0.6700535416799237,4,temperature850,0
0,534.2796993033721,0.5614728805146625,738.6927815614964,0.2471631301302325,5,geopotential1000,0
0,562.5779384350016,0.6756496508078569,791.5915543921383,0.39070087165373313,5,geopotential700,0
0,744.0341443572377,0.7403728491205621,1033.381753978452,0.5305705652704368,5,geopotential500,0
0,999.4110282128916,0.7954167134645046,1410.955780771687,0.6198811227908545,5,geopotential300,0
0,3.617525395981214,0.7581695178523652,4.560630868746124,0.654296388695995,5,temperature850,0
0,596.8070879207281,0.4454997001957236,751.6530560832373,0.2205311278657784,6,geopotential1000,0
0,638.5271444257731,0.5776387450269261,811.2270347480458,0.36014689951477385,6,geopotential700,0
0,848.5001656492099,0.6581791113842786,1058.683057136922,0.5072294974535206,6,geopotential500,0
0,1137.3738323260345,0.7312268779180966,1442.0007529942504,0.6028641671906246,6,geopotential300,0
0,4.026100582483282,0.6954562757944994,4.622090972880082,0.6446640537546676,6,temperature850,0
0,643.4802792217561,0.35023078667072066,760.3972009165327,0.20232085298119779,7,geopotential1000,0
0,697.2839118966598,0.49257814843452746,824.3142373186396,0.33937911983556057,7,geopotential700,0
0,930.2019743935714,0.5851998744911895,1077.0349675826021,0.48991760291171743,7,geopotential500,0
0,1245.7161394328093,0.6737999874337562,1467.2530765175695,0.5887223458861593,7,geopotential300,0
0,4.35464574193672,0.6388146608924353,4.680880441629968,0.6353236012383209,7,temperature850,0
0,679.46103347335,0.27350125846992096,769.2390567819766,0.18373788003194985,8,geopotential1000,0
0,742.668566004988,0.4215674260437287,836.3150711029142,0.31997276796129714,8,geopotential700,0
0,993.1358939730693,0.5235255140713416,1094.5319428609293,0.4730809611242326,8,geopotential500,0
0,1330.2865580364537,0.6243929443447661,1492.4885286981223,0.5743191771325938,8,geopotential300,0
0,4.613471798449606,0.5899723242647701,4.744685451411059,0.6250674487367421,8,temperature850,0
0,708.3817945938964,0.21044840920324537,774.2669794835751,0.17311487137157458,9,geopotential1000,0
0,778.1674280897025,0.36251943011852006,844.3344633196448,0.3067836589326746,9,geopotential700,0
0,1043.1374859461869,0.4709883661124149,1105.7016110571744,0.46211922483493495,9,geopotential500,0
0,1399.6260077104175,0.5809546614761764,1507.7641275112783,0.5654184754506856,9,geopotential300,0
0,4.821987571525543,0.5479387655071929,4.78008951241194,0.6192122535238888,9,temperature850,0
0,729.7070542829144,0.16380958286377778,777.7811823911841,0.1656088454196839,10,geopotential1000,0
0,805.0127361693848,0.3156369009339949,850.053872603985,0.29724580100540027,10,geopotential700,0
0,1082.7369266436826,0.4271487982395294,1113.9935202237452,0.45386580704067225,10,geopotential500,0
0,1456.8665587888115,0.5434242719079518,1519.2640343083003,0.5586278335071364,10,geopotential300,0
0,4.988617779762124,0.5127256817611289,4.808630190217355,0.6144439509940789,10,temperature850,0
