,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999868727,0.0,0.9999999999868727,0,geopotential1000,2
0,0.0,0.99999999988104,0.0,0.99999999988104,0,geopotential700,2
0,0.0,0.9999999998482112,0.0,0.9999999998482112,0,geopotential500,2
0,0.0,0.9999999997970952,0.0,0.9999999997970952,0,geopotential300,2
0,0.0,0.9999999997695707,0.0,0.9999999997695707,0,temperature850,2
0,155.65257919112122,0.9658382894094238,468.3598944552414,0.6973558340295068,1,geopotential1000,2
0,149.34944618726388,0.9782237763393319,453.8008161346461,0.7998054922308415,1,geopotential700,2
0,189.4080005147078,0.984240522663504,602.787057034353,0.8404142297841615,1,geopotential500,2
0,272.60986551572125,0.9859523585010032,849.2299558438651,0.862447006605005,1,geopotential300,2
0,1.485342319285968,0.9634548372442714,3.1047476318659895,0.8402405833586405,1,temperature850,2
0,293.034394775408,0.872500436809449,623.597034554822,0.4634374166983697,2,geopotential1000,2
0,289.96905286677014,0.9138353518977953,634.6094540723279,0.6084359014262958,2,geopotential700,2
0,369.7060938089593,0.9381243126990341,833.628894399257,0.6947118176168801,2,geopotential500,2
0,522.879433817135,0.9467205449836358,1159.465354960992,0.7435340029730045,2,geopotential300,2
0,2.1310325380413904,0.9223255847694568,3.977088098702751,0.7377137965496691,2,temperature850,2
0,422.3371914516687,0.7251118175693535,684.4256472435878,0.35360232258521657,3,geopotential1000,2
0,423.86487927674193,0.808017531423144,715.6960375361742,0.50193661315312,3,geopotential700,2
0,545.0877380097519,0.8607425628596668,936.031177695407,0.6150220533019999,3,geopotential500,2
0,761.5879677947117,0.8825195996400643,1289.633497533823,0.6826366670826496,3,geopotential300,2
0,2.7732046194334314,0.8638831439483752,4.2957869591579785,0.6938053624836795,3,temperature850,2
0,528.7136665617887,0.5622103070356899,717.8547791547701,0.288849970701034,4,geopotential1000,2
0,537.7921872379168,0.6831384037667735,761.5574716224979,0.43599808380911304,4,geopotential700,2
0,700.2509808796996,0.763900382707747,994.2550799336618,0.5655183662009238,4,geopotential500,2
0,976.229095179929,0.8006734212609966,1362.5462088266308,0.6456131213238094,4,geopotential300,2
0,3.3742715331371715,0.7921274135341737,4.455262465135697,0.6704238116654408,4,temperature850,2
0,609.9043248130209,0.41638007069040406,738.6337306045723,0.2470810754790657,5,geopotential1000,2
0,627.3356704941741,0.5632550492887162,791.5653935201226,0.3906705776259195,5,geopotential700,2
0,827.6963240417055,0.6640840622380637,1033.360266159812,0.530563145832837,5,geopotential500,2
0,1158.5930835372887,0.7128618250520291,1410.9333959000303,0.619868742913853,5,geopotential300,2
0,3.8866057743918545,0.7169728147143434,4.558830744173125,0.6546725179089186,5,temperature850,2
0,678.6188433876911,0.2948563243941239,751.5996854286238,0.22043140662434313,6,geopotential1000,2
0,700.6149310107086,0.45613585602612927,811.1993762043214,0.3601167211651087,6,geopotential700,2
0,933.4956643501342,0.5699396594908064,1058.6593261675773,0.507223410440823,6,geopotential500,2
0,1319.8339781569953,0.6248327492028745,1441.9725023259375,0.6028542683093989,6,geopotential300,2
0,4.3194292070171265,0.6440073742371222,4.6205141880308505,0.645012766408392,6,temperature850,2
0,757.6474847394255,0.19541536933289472,760.352350499567,0.20219960952771604,7,geopotential1000,2
0,773.1332083639544,0.3590921951428163,824.2871656159485,0.33934661298697916,7,geopotential700,2
0,1032.252496478868,0.4816952417480646,1077.0137908499294,0.48990858346849686,7,geopotential500,2
0,1493.4141062460542,0.5325850791561388,1467.225454517894,0.5887115073658183,7,geopotential300,2
0,4.723208671438976,0.572755800412774,4.679476806111478,0.6356520654435607,7,temperature850,2
0,874.8938940503155,0.11976541952474118,769.186395798223,0.18362945828780752,8,geopotential1000,2
0,861.7662619325002,0.2709146419992711,836.2850735119484,0.319943593199849,8,geopotential700,2
0,1139.3942708772304,0.39854072089034154,1094.5120255607633,0.4730702617658701,8,geopotential500,2
0,1732.6356634423817,0.43113960540107554,1492.4615500283248,0.5743074299316472,8,geopotential300,2
0,5.186996753453945,0.49851040222282683,4.743355776712336,0.6253898344782719,8,temperature850,2
0,1055.4833883996898,0.06983269922279271,774.2139951379467,0.1730046701472703,9,geopotential1000,2
0,978.6570212462249,0.19586551652602524,844.3026521641648,0.30675669451962223,9,geopotential700,2
0,1264.208596491545,0.32358698260535834,1105.6788660942877,0.46211106857574114,9,geopotential500,2
0,2098.059170182087,0.3304117322830664,1507.7349991652743,0.5654076647059718,9,geopotential300,2
0,5.820659054398893,0.41982098007581126,4.77876263602866,0.6195372702739163,9,temperature850,2
0,1313.7256602358502,0.041647007729668215,777.7334772778154,0.16548407493918907,10,geopotential1000,2
0,1126.3502906196052,0.13937018348797733,850.0216774004956,0.29721888775952005,10,geopotential700,2
0,1409.4199509305333,0.26160739834644575,1113.9701459974356,0.4538581516674795,10,geopotential500,2
0,2648.5119107663795,0.2457439508178941,1519.2327226186592,0.5586181129606422,10,geopotential300,2
0,6.763166654112218,0.34009370444094905,4.807448091192943,0.6147474651522616,10,temperature850,2
