,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999868727,0.0,0.9999999999868727,0,geopotential1000,1
0,0.0,0.99999999988104,0.0,0.99999999988104,0,geopotential700,1
0,0.0,0.9999999998482112,0.0,0.9999999998482112,0,geopotential500,1
0,0.0,0.9999999997970952,0.0,0.9999999997970952,0,geopotential300,1
0,0.0,0.9999999997695707,0.0,0.9999999997695707,0,temperature850,1
0,152.82893499952027,0.9680413900636325,468.3598944552414,0.6973558340295068,1,geopotential1000,1
0,149.6808905060785,0.9785192163569735,453.8008161346461,0.7998054922308415,1,geopotential700,1
0,187.14202106990854,0.9849919109667434,602.787057034353,0.8404142297841615,1,geopotential500,1
0,253.66487531128868,0.9877453082574299,849.2299558438651,0.862447006605005,1,geopotential300,1
0,1.444080315028897,0.9660155761239652,3.1047476318659895,0.8402405833586405,1,temperature850,1
0,284.61673818905535,0.8814701622688044,623.597034554822,0.4634374166983697,2,geopotential1000,1
0,291.56427620910466,0.9177227938363802,634.6094540723279,0.6084359014262958,2,geopotential700,1
0,363.8014322145329,0.942989597896051,833.628894399257,0.6947118176168801,2,geopotential500,1
0,477.8758129169407,0.9560471664660974,1159.465354960992,0.7435340029730045,2,geopotential300,1
0,2.0725186982208545,0.9293294453118642,3.977088098702751,0.7377137965496691,2,temperature850,1
0,403.99471875279,0.7460570680741714,684.4256472435878,0.35360232258521657,3,geopotential1000,1
0,421.8521891681624,0.8241848362324348,715.6960375361742,0.50193661315312,3,geopotential700,1
0,531.6115886066797,0.8761658032406586,936.031177695407,0.6150220533019999,3,geopotential500,1
0,695.3090943171791,0.9055513288164425,1289.633497533823,0.6826366670826496,3,geopotential300,1
0,2.697164192610962,0.8769584259421283,4.2957869591579785,0.6938053624836795,3,temperature850,1
0,501.60238939847324,0.5933318664368021,717.8547791547701,0.288849970701034,4,geopotential1000,1
0,531.6875961087524,0.7164295755776129,761.5574716224979,0.43599808380911304,4,geopotential700,1
0,677.2211184540445,0.7958449357907332,994.2550799336618,0.5655183662009238,4,geopotential500,1
0,889.5620203312005,0.8432182677614455,1362.5462088266308,0.6456131213238094,4,geopotential300,1
0,3.281815624095127,0.8129180271515134,4.455262465135697,0.6704238116654408,4,temperature850,1
0,575.0069928466105,0.45395178398917685,738.6337306045723,0.2470810754790657,5,geopotential1000,1
0,618.2344836117645,0.6132449973052699,791.5653935201226,0.3906705776259195,5,geopotential700,1
0,794.4022257213078,0.7156735042918686,1033.360266159812,0.530563145832837,5,geopotential500,1
0,1048.310555039234,0.7796786029349072,1410.9333959000303,0.619868742913853,5,geopotential300,1
0,3.7874169690441635,0.7459678729541797,4.558830744173125,0.6546725179089186,5,temperature850,1
0,627.7958088574578,0.3408373059681448,751.5996854286238,0.22043140662434313,6,geopotential1000,1
0,684.3367844968045,0.5238318884682526,811.1993762043214,0.3601167211651087,6,geopotential700,1
0,885.1332987204114,0.6437751924884788,1058.6593261675773,0.507223410440823,6,geopotential500,1
0,1172.234187088758,0.7218728131680741,1441.9725023259375,0.6028542683093989,6,geopotential300,1
0,4.199582025987869,0.6840050457060324,4.6205141880308505,0.645012766408392,6,temperature850,1
0,665.4920975555917,0.25324442065082836,760.352350499567,0.20219960952771604,7,geopotential1000,1
0,733.4930135356503,0.45166219496685767,824.2871656159485,0.33934661298697916,7,geopotential700,1
0,953.0315174365663,0.5841157804154531,1077.0137908499294,0.48990858346849686,7,geopotential500,1
0,1265.4592304456532,0.6732869171637448,1467.225454517894,0.5887115073658183,7,geopotential300,1
0,4.525304264831923,0.6310276726000823,4.679476806111478,0.6356520654435607,7,temperature850,1
0,691.9903120459151,0.1890779050147547,769.186395798223,0.18362945828780752,8,geopotential1000,1
0,769.7617893208097,0.3963764681855155,836.2850735119484,0.319943593199849,8,geopotential700,1
0,1003.2711808794598,0.5371258389072536,1094.5120255607633,0.4730702617658701,8,geopotential500,1
0,1334.6847305723134,0.6343636630578545,1492.4615500283248,0.5743074299316472,8,geopotential300,1
0,4.780584545635294,0.5877008378699483,4.743355776712336,0.6253898344782719,8,temperature850,1
0,710.1231596289749,0.14511462665067043,774.2139951379467,0.1730046701472703,9,geopotential1000,1
0,795.9280695540865,0.35651619131616424,844.3026521641648,0.30675669451962223,9,geopotential700,1
0,1040.6405789272576,0.5012657855198824,1105.6788660942877,0.46211106857574114,9,geopotential500,1
0,1387.5316834481857,0.6034222448638193,1507.7349991652743,0.5654076647059718,9,geopotential300,1
0,4.985143007100465,0.5523143971163543,4.77876263602866,0.6195372702739163,9,temperature850,1
0,723.4406655822713,0.11472551236367196,777.7334772778154,0.16548407493918907,10,geopotential1000,1
0,815.9256251554921,0.32730227306881976,850.0216774004956,0.29721888775952005,10,geopotential700,1
0,1070.6924971919366,0.47279349304213764,1113.9701459974356,0.4538581516674795,10,geopotential500,1
0,1431.8018911747124,0.5773831799418903,1519.2327226186592,0.5586181129606422,10,geopotential300,1
0,5.155367652430733,0.522965949004078,4.807448091192943,0.6147474651522616,10,temperature850,1
