,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999946675,0.0,0.9999999999946675,0,geopotential1000,0
0,0.0,0.9999999998848025,0.0,0.9999999998848025,0,geopotential700,0
0,0.0,0.9999999998690033,0.0,0.9999999998690033,0,geopotential500,0
0,0.0,0.9999999998017733,0.0,0.9999999998017733,0,geopotential300,0
0,0.0,0.9999999997810833,0.0,0.9999999997810833,0,temperature850,0
0,121.76197829869427,0.9793021736965003,468.3913385778993,0.6973949344930366,1,geopotential1000,0
0,113.34596016824666,0.9874484729481458,453.8082518798121,0.7998224310943289,1,geopotential700,0
0,145.21652230812018,0.990740988940661,602.7851702712735,0.8404246468928629,1,geopotential500,0
0,212.6565944771133,0.9916836419852413,849.2223263104785,0.8624584599485453,1,geopotential300,0
0,1.3890576603474236,0.9684113397644504,3.1058484326004625,0.8400772541857688,1,temperature850,0
0,221.1398281059039,0.9294732246599557,623.631358043833,0.46351978325126,2,geopotential1000,0
0,214.031595591088,0.954360028722409,634.6226067939332,0.6084653938754042,2,geopotential700,0
0,273.59238843443507,0.966656639466576,833.6311446286043,0.6947281228429634,2,geopotential500,0
0,387.1443277810858,0.9715639910592021,1159.4725831561889,0.7435475493463516,2,geopotential300,0
0,1.9221157550183876,0.9393457781464771,3.9782721450170033,0.7374759691552066,2,temperature850,0
0,329.2857907940407,0.8393542139508814,684.4661251647647,0.35369679744075905,3,geopotential1000,0
0,324.26532438814525,0.8931480409210416,715.7137294191646,0.5019700458800577,3,geopotential700,0
0,415.7979210489124,0.9217393320537244,936.0413714300818,0.6150360937386787,3,geopotential500,0
0,579.4869032724646,0.9345620575679923,1289.645391617484,0.6826514535682628,3,geopotential300,0
0,2.4765977268249633,0.896785241115899,4.297288830598009,0.6934968311960362,3,temperature850,0
0,434.1894103957443,0.716805812233149,717.9050936902871,0.28893980431928235,4,geopotential1000,0
0,435.2827063581929,0.8046038702614342,761.5800635814908,0.4360301067886154,4,geopotential700,0
0,561.7295827786594,0.8550052639641936,994.2727450604497,0.5655280095808466,4,geopotential500,0
0,779.315996723888,0.8789778912793405,1362.5646679481931,0.6456264507733197,4,geopotential300,0
0,3.03811810215024,0.8401543233432397,4.4570909640295255,0.6700535416799237,4,temperature850,0
0,525.9882055945181,0.5820591814709859,738.6927815614964,0.2471631301302325,5,geopotential1000,0
0,535.6133391813804,0.7008736526207097,791.5915543921383,0.39070087165373313,5,geopotential700,0
0,696.292246917794,0.7742283361571839,1033.381753978452,0.5305705652704368,5,geopotential500,0
0,965.5796987006422,0.8107725378120777,1410.955780771687,0.6198811227908545,5,geopotential300,0
0,3.5583447402134603,0.775262232996038,4.560630868746124,0.654296388695995,5,temperature850,0
0,600.4120729494191,0.4548421700799861,751.6530560832373,0.2205311278657784,6,geopotential1000,0
0,618.6936908715116,0.5974394015920792,811.2270347480458,0.36014689951477385,6,geopotential700,0
0,809.3967867695652,0.6913887598047551,1058.683057136922,0.5072294974535206,6,geopotential500,0
0,1124.1122271411323,0.7396406008474031,1442.0007529942504,0.6028641671906246,6,geopotential300,0
0,4.0113035666822086,0.7089598920693341,4.622090972880082,0.6446640537546676,6,temperature850,0
0,658.5180942165348,0.34616757031853806,760.3972009165327,0.20232085298119779,7,geopotential1000,0
0,685.0161372097704,0.503943841735363,824.3142373186396,0.33937911983556057,7,geopotential700,0
0,900.7996589667131,0.6142398783040893,1077.0349675826021,0.48991760291171743,7,geopotential500,0
0,1253.9928274547533,0.6719480769004067,1467.2530765175695,0.5887223458861593,7,geopotential300,0
0,4.39322481679167,0.6461295374746772,4.680880441629968,0.6353236012383209,7,temperature850,0
0,702.0145904369964,0.2605738461936466,769.2390567819766,0.18373788003194985,8,geopotential1000,0
0,735.4912924387676,0.42607075224585755,836.3150711029142,0.31997276796129714,8,geopotential700,0
0,971.3171298592025,0.5478543978153925,1094.5319428609293,0.4730809611242326,8,geopotential500,0
0,1355.588734036364,0.6124156410541511,1492.4885286981223,0.5743191771325938,8,geopotential300,0
0,4.702675005193107,0.5904660782770413,4.744685451411059,0.6250674487367421,8,temperature850,0
0,735.2349805709127,0.1950998697922605,774.2669794835751,0.17311487137157458,9,geopotential1000,0
0,773.5149604963308,0.3640999317633129,844.3344633196448,0.3067836589326746,9,geopotential700,0
0,1024.3201660950597,0.4936843572194657,1105.7016110571744,0.46211922483493495,9,geopotential500,0
0,1432.1768515756098,0.5632098562001754,1507.7641275112783,0.5654184754506856,9,geopotential300,0
0,4.943285864692824,0.544004657136488,4.78008951241194,0.6192122535238888,9,temperature850,0
0,760.8652425537853,0.1445847018203231,777.7811823911841,0.1656088454196839,10,geopotential1000,0
0,802.4071663085119,0.314532556333457,850.053872603985,0.29724580100540027,10,geopotential700,0
0,1064.5449647196679,0.4494438581218915,1113.9935202237452,0.45386580704067225,10,geopotential500,0
0,1490.6232157224424,0.5226027792455237,1519.2640343083003,0.5586278335071364,10,geopotential300,0
0,5.133654765738208,0.5052503038242436,4.808630190217355,0.6144439509940789,10,temperature850,0
